Game,Console Name,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
Shitsuji ga Aruji o Erabu Toki,PSV,2016.0,Adventure,Unknown,0.0,0.0,0.01,0.0,0.01
Carmageddon: Max Damage,XOne,2016.0,Action,Stainless Games,0.01,0.01,0.0,0.0,0.02
Caligula,PSV,2016.0,Role-Playing,FuRyu,0.0,0.0,0.06,0.0,0.06
Toukiden 2,PSV,2016.0,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11
Yokai Sangokushi,3DS,2016.0,Action,Level 5,0.0,0.0,0.56,0.0,0.56
Quantum Break,XOne,2016.0,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56
Harvest Moon: Skytree Village,3DS,2016.0,Simulation,Natsume,0.02,0.0,0.0,0.0,0.03
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016.0,Shooter,Gearbox Software,0.03,0.0,0.0,0.01,0.03
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,2016.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Need for Speed (2015),PC,2016.0,Racing,Electronic Arts,0.0,0.03,0.0,0.0,0.03
Agatha Christie's The ABC Murders,PS4,2016.0,Adventure,Microids,0.01,0.01,0.0,0.0,0.03
Atari Flashback Classics: Volume 1,PS4,2016.0,Misc,Atari,0.02,0.0,0.0,0.0,0.03
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Sengoku Basara: Sanada Yukimura-Den,PS4,2016.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03
PriPara Mezameyo! Megami no Dress Design,3DS,2016.0,Action,Takara Tomy,0.0,0.0,0.03,0.0,0.03
Dead or Alive Xtreme 3: Venus,PSV,2016.0,Sports,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,0.05,0.21,0.25,0.02,0.53
My Hero Academia: Battle for All,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
Macross ? Scramble,PSV,2016.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
Warhammer: The End Times - Vermintide,PS4,2016.0,Action,Games Workshop,0.01,0.02,0.0,0.01,0.04
 Beyblade Burst,3DS,2016.0,Role-Playing,FuRyu,0.0,0.0,0.03,0.0,0.03
Transport Fever,PC,2016.0,Simulation,Astragon,0.0,0.03,0.0,0.0,0.04
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.02,0.0,0.02
Assault Suit Leynos,PS4,2016.0,Shooter,Rising Star Games,0.02,0.0,0.0,0.0,0.02
Reco Love: Blue Ocean,PSV,2016.0,Adventure,Kadokawa Games,0.0,0.0,0.02,0.0,0.02
Plants vs. Zombies: Garden Warfare 2,PS4,2016.0,Shooter,Electronic Arts,0.2,0.21,0.0,0.08,0.49
Atari Flashback Classics: Volume 2,PS4,2016.0,Misc,Atari,0.02,0.0,0.0,0.0,0.02
Metal Gear Solid V: The Definitive Experience,PS4,2016.0,Action,Konami Digital Entertainment,0.01,0.02,0.01,0.0,0.04
Berserk and the Band of the Hawk,PS4,2016.0,Action,Tecmo Koei,0.0,0.0,0.04,0.0,0.04
Doraemon: Shin Nobita no Nihon Tanjou,3DS,2016.0,Misc,FuRyu,0.0,0.0,0.04,0.0,0.04
Dead Rising,PS4,2016.0,Action,Capcom,0.02,0.0,0.01,0.01,0.04
MLB 16: The Show,PS4,2016.0,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.17,0.89
Sengoku Otome: Legend Battle,PSV,2016.0,Action,Unknown,0.0,0.0,0.03,0.0,0.03
One Piece: Daikaizoku Coliseum,3DS,2016.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Psycho-Pass: Mandatory Happiness,PS4,2016.0,Adventure,Nippon Ichi Software,0.03,0.0,0.0,0.01,0.04
Teddy Together,3DS,2016.0,Simulation,Nintendo,0.0,0.02,0.0,0.0,0.03
Samurai Warriors: Sanada Maru,PS4,2016.0,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Genkai Tokki: Seven Pirates,PSV,2016.0,Role-Playing,Compile Heart,0.0,0.0,0.03,0.0,0.03
Kenka Bancho Otome,PSV,2016.0,Action,Screenlife,0.0,0.0,0.03,0.0,0.03
Superdimension Neptune vs Sega Hard Girls,PSV,2016.0,Role-Playing,Idea Factory International,0.0,0.02,0.0,0.01,0.03
Lego Star Wars: The Force Awakens,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,2016.0,Role-Playing,Rocket Company,0.0,0.0,0.03,0.0,0.03
Darius Burst: Chronicle Saviours,PSV,2016.0,Action,Kadokawa Games,0.0,0.0,0.03,0.0,0.03
Farming Simulator 17,PC,2016.0,Simulation,Focus Home Interactive,0.03,0.58,0.0,0.04,0.65
Dragon Ball: Xenoverse 2,PS4,2016.0,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71
Dishonored 2,PS4,2016.0,Action,Bethesda Softworks,0.22,0.32,0.0,0.1,0.64
Dragon Quest Monsters Joker 3,3DS,2016.0,Role-Playing,Square Enix,0.0,0.0,0.63,0.0,0.63
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016.0,Adventure,5pb,0.0,0.0,0.03,0.0,0.03
Bus Simulator 16,PC,2016.0,Simulation,Astragon,0.0,0.03,0.0,0.0,0.03
Diabolik Lovers: Lunatic Parade,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
Worms: WMD,PS4,2016.0,Action,Sold Out,0.01,0.02,0.0,0.0,0.03
Ao no Kanata no Four Rhythm,PSV,2016.0,Adventure,Unknown,0.0,0.0,0.03,0.0,0.03
Loading Human,PS4,2016.0,Adventure,FuRyu Corporation,0.01,0.01,0.0,0.0,0.03
Kangokutou Mary Skelter,PSV,2016.0,Role-Playing,Compile Heart,0.0,0.0,0.03,0.0,0.03
LEGO Marvel's Avengers,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73
WWE 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6
Yuusha Shisu.,PSV,2016.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
Prison Architect,PS4,2016.0,Action,Introversion Software,0.01,0.01,0.0,0.01,0.03
Titanfall 2,PS4,2016.0,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75
Tokyo Xanadu eX+,PS4,2016.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.03,0.0,0.03
Dead Rising 2,PS4,2016.0,Action,Capcom,0.01,0.0,0.01,0.0,0.03
3DS Classic Collection,3DS,2016.0,Misc,Sega,0.03,0.0,0.0,0.0,0.03
Resident Evil 5 HD,PS4,2016.0,Action,Capcom,0.02,0.0,0.0,0.01,0.03
Aegis of Earth: Protonovus Assault,PSV,2016.0,Action,PQube,0.01,0.01,0.0,0.01,0.03
 Haikyu!! Cross Team Match!,3DS,2016.0,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
La Corda d'Oro 4,PSV,2016.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016.0,Misc,Tecmo Koei,0.01,0.0,0.05,0.0,0.06
Resident Evil 4 HD,PS4,2016.0,Shooter,Capcom,0.04,0.0,0.0,0.01,0.05
Deus Ex: Mankind Divided,PS4,2016.0,Role-Playing,Square Enix,0.11,0.21,0.0,0.06,0.38
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,2016.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
Resident Evil Zero,PS4,2016.0,Action,Capcom,0.1,0.17,0.05,0.05,0.37
Persona 5,PS4,2016.0,Role-Playing,Atlus,0.0,0.0,0.37,0.0,0.37
Rose to Tasogare no Kojou,PSV,2016.0,Action,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
BioShock The Collection,PS4,2016.0,Shooter,Take-Two Interactive,0.1,0.19,0.02,0.06,0.37
Rocket League,PS4,2016.0,Sports,505 Games,0.03,0.28,0.0,0.05,0.37
R.B.I. Baseball 2016,XOne,2016.0,Sports,MLB.com,0.05,0.0,0.0,0.01,0.05
DiRT Rally,PS4,2016.0,Racing,Codemasters,0.04,0.27,0.0,0.05,0.37
Forza Horizon 3,XOne,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08
Star Fox: Zero,WiiU,2016.0,Shooter,Nintendo,0.17,0.1,0.07,0.03,0.36
Killing Floor 2 ,PS4,2016.0,Shooter,Tripwire Interactive,0.03,0.01,0.0,0.01,0.05
Homefront: The Revolution,PS4,2016.0,Shooter,Deep Silver,0.06,0.21,0.03,0.05,0.35
One Piece: Burning Blood,PS4,2016.0,Fighting,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35
Touhou Genso Rondo: Bullet Ballet,PS4,2016.0,Shooter,Nippon Ichi Software,0.02,0.0,0.0,0.0,0.02
Dead or Alive Xtreme 3: Fortune,PS4,2016.0,Sports,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
Mirror's Edge Catalyst,PS4,2016.0,Platform,Electronic Arts,0.11,0.16,0.02,0.05,0.35
Mighty No. 9,PS4,2016.0,Platform,Deep Silver,0.04,0.0,0.0,0.01,0.05
TrackMania Turbo,PS4,2016.0,Action,Ubisoft,0.03,0.26,0.0,0.05,0.35
Paragon,PS4,2016.0,Action,Epic Games,0.02,0.0,0.0,0.0,0.02
Uta no Prince-Sama: Music 3,PSV,2016.0,Action,Broccoli,0.0,0.0,0.05,0.0,0.05
Ghostbusters (2016),PS4,2016.0,Action,Activision,0.04,0.0,0.0,0.01,0.05
Hearts of Iron IV,PC,2016.0,Strategy,Paradox Interactive,0.0,0.05,0.0,0.0,0.05
Watch Dogs 2,PS4,2016.0,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14
World of Final Fantasy,PS4,2016.0,Role-Playing,Square Enix,0.08,0.14,0.08,0.04,0.33
Hakuoki: Shinkai - Hana no Shou,PSV,2016.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
NHL 17,PS4,2016.0,Sports,Electronic Arts,0.19,0.08,0.0,0.06,0.33
Star Ocean 5: Integrity and Faithlessness,PS4,2016.0,Role-Playing,Square Enix,0.07,0.09,0.15,0.03,0.33
Metroid Prime: Federation Force,3DS,2016.0,Action,Nintendo,0.02,0.01,0.01,0.0,0.05
F1 2016 (Codemasters),PS4,2016.0,Racing,Codemasters,0.03,0.29,0.01,0.05,0.39
Call of Duty: Modern Warfare Trilogy,X360,2016.0,Shooter,Activision,0.02,0.02,0.0,0.0,0.04
NASCAR Heat Evolution,PS4,2016.0,Racing,Dusenberry Martin Racing,0.04,0.0,0.0,0.01,0.05
Stellaris,PC,2016.0,Strategy,Paradox Interactive,0.0,0.04,0.0,0.0,0.04
Street Fighter V,PS4,2016.0,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9
Rugby Challenge 3,PS4,2016.0,Sports,Alternative Software,0.0,0.04,0.0,0.01,0.04
Bullet Girls 2,PSV,2016.0,Action,D3Publisher,0.0,0.0,0.04,0.0,0.04
Pro Evolution Soccer 2017,PS4,2016.0,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45
Here They Lie,PS4,2016.0,Adventure,Sony Computer Entertainment,0.0,0.02,0.0,0.0,0.02
Kirby: Planet Robobot,3DS,2016.0,Action,Nintendo,0.28,0.14,0.47,0.04,0.93
Hyrule Warriors,3DS,2016.0,Action,Nintendo,0.17,0.13,0.11,0.03,0.43
Resident Evil: Umbrella Corps,PS4,2016.0,Action,Capcom,0.0,0.0,0.02,0.0,0.02
EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93
Rise of the Tomb Raider,PS4,2016.0,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94
Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016.0,Action,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04
Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016.0,Misc,FuRyu,0.0,0.0,0.04,0.0,0.04
